word	nodeType	unit
other	ADJ	Godfrey_First_Elden_Lord-scene-2064000-14
grace	NOUN	Godfrey_First_Elden_Lord-scene-2064000-14
again	ADV	Godfrey_First_Elden_Lord-scene-2064000-14
bless	VERB	Godfrey_First_Elden_Lord-scene-2064000-14
renown	NOUN	Godfrey_First_Elden_Lord-scene-2064000-14
fog	NOUN	Godfrey_First_Elden_Lord-scene-2064000-14
stand	VERB	Godfrey_First_Elden_Lord-scene-2064000-14
become	VERB	Godfrey_First_Elden_Lord-scene-2064000-14
dear	ADJ	Malenia_Blade_of_Miquella-scene-2027000-5
twin	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
accept	VERB	Malenia_Blade_of_Miquella-scene-2027000-5
gift	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
gift	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
abundance	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
last	ADJ	Malenia_Blade_of_Miquella-scene-2027000-5
drop	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
dew	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
let	VERB	Malenia_Blade_of_Miquella-scene-2027000-5
thing	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
flourish	VERB	Malenia_Blade_of_Miquella-scene-2027000-5
graceful	ADJ	Malenia_Blade_of_Miquella-scene-2027000-5
malign	ADJ	Malenia_Blade_of_Miquella-scene-2027000-5
wait	VERB	Malenia_Blade_of_Miquella-scene-2027000-5
scarlet	ADJ	Malenia_Blade_of_Miquella-scene-2027000-5
bloom	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
flower	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
once	ADV	Malenia_Blade_of_Miquella-scene-2027000-5
more	ADJ	Malenia_Blade_of_Miquella-scene-2027000-5
witness	VERB	Malenia_Blade_of_Miquella-scene-2027000-5
true	ADJ	Malenia_Blade_of_Miquella-scene-2027000-5
horror	NOUN	Malenia_Blade_of_Miquella-scene-2027000-5
now	ADV	Malenia_Blade_of_Miquella-scene-2027000-5
rot	VERB	Malenia_Blade_of_Miquella-scene-2027000-5
thou'rt	NOUN	Godrick_the_Grafted-scene-2078000-23
unfit	ADJ	Godrick_the_Grafted-scene-2078000-23
even	ADV	Godrick_the_Grafted-scene-2078000-23
graft	VERB	Godrick_the_Grafted-scene-2078000-23
sincere	ADJ	Godrick_the_Grafted-scene-2078000-23
gratitude	NOUN	Godrick_the_Grafted-scene-2078000-23
think	VERB	Godrick_the_Grafted-scene-2078000-23
never	ADV	Godrick_the_Grafted-scene-2078000-23
wrench	VERB	Godrick_the_Grafted-scene-2078000-23
thing	NOUN	Godrick_the_Grafted-scene-2078000-23
open	ADJ	Godrick_the_Grafted-scene-2078000-23
didst	VERB	Godrick_the_Grafted-scene-2078000-23
thou	VERB	Godrick_the_Grafted-scene-2078000-23
witness	NOUN	Godrick_the_Grafted-scene-2078000-23
fine	ADJ	Godrick_the_Grafted-scene-2078000-23
customer	NOUN	Godrick_the_Grafted-scene-2078000-23
man	NOUN	Godrick_the_Grafted-scene-2078000-23
ever	ADV	Godrick_the_Grafted-scene-2078000-23
have	VERB	Godrick_the_Grafted-scene-2078000-23
day	NOUN	Godrick_the_Grafted-scene-2078000-23
return	VERB	Godrick_the_Grafted-scene-2078000-23
together	ADV	Godrick_the_Grafted-scene-2078000-23
home	NOUN	Godrick_the_Grafted-scene-2078000-23
bath	VERB	Godrick_the_Grafted-scene-2078000-23
ray	NOUN	Godrick_the_Grafted-scene-2078000-23
gold	NOUN	Godrick_the_Grafted-scene-2078000-23
host	NOUN	Godrick_the_Grafted-scene-2075000-21
more	ADJ	Godrick_the_Grafted-scene-2075000-21
content	NOUN	Godrick_the_Grafted-scene-2075000-21
find	VERB	Godrick_the_Grafted-scene-2075000-21
knowledge	NOUN	Godrick_the_Grafted-scene-2075000-21
then	ADV	Godrick_the_Grafted-scene-2075000-21
find	VERB	Godrick_the_Grafted-scene-2075000-21
now	ADV	Godrick_the_Grafted-scene-2075000-21
here	ADV	Godrick_the_Grafted-scene-2075000-21
long	ADJ	Godfrey_First_Elden_Lord-scene-2007000-12
while	NOUN	Godfrey_First_Elden_Lord-scene-2007000-12
hard	ADV	Godfrey_First_Elden_Lord-scene-2007000-12
didst	VERB	Godfrey_First_Elden_Lord-scene-2007000-12
fight	NOUN	Godfrey_First_Elden_Lord-scene-2007000-12
spurn	VERB	Godfrey_First_Elden_Lord-scene-2007000-12
grace	NOUN	Godfrey_First_Elden_Lord-scene-2007000-12
gold	NOUN	Godfrey_First_Elden_Lord-scene-2007000-12
assure	VERB	Godfrey_First_Elden_Lord-scene-2007000-12
close	ADV	Godfrey_First_Elden_Lord-scene-2007000-12
hand	NOUN	Godfrey_First_Elden_Lord-scene-2007000-12
return	VERB	Godfrey_First_Elden_Lord-scene-2007000-12
grant	VERB	Godfrey_First_Elden_Lord-scene-2007000-12
audience	NOUN	Godfrey_First_Elden_Lord-scene-2007000-12
once	ADV	Godfrey_First_Elden_Lord-scene-2007000-12
more	ADV	Godfrey_First_Elden_Lord-scene-2007000-12
name	NOUN	Godfrey_First_Elden_Lord-scene-2007000-12
first	ADJ	Godfrey_First_Elden_Lord-scene-2007000-12
really	ADV	Godrick_the_Grafted-scene-2073000-20
that	ADV	Godrick_the_Grafted-scene-2073000-20
gullible	ADJ	Godrick_the_Grafted-scene-2073000-20
then	ADV	Godrick_the_Grafted-scene-2073000-20
stay	VERB	Godrick_the_Grafted-scene-2073000-20
away	ADV	Godrick_the_Grafted-scene-2073000-20
now	ADV	Godrick_the_Grafted-scene-2073000-20
take	VERB	Godrick_the_Grafted-scene-2073000-20
care	NOUN	Godrick_the_Grafted-scene-2073000-20
very	ADV	Rykard_Lord_of_Blasphemy-scene-2030000-10
well	ADV	Rykard_Lord_of_Blasphemy-scene-2030000-10
fitting	ADJ	Rykard_Lord_of_Blasphemy-scene-2030000-10
sacrifice	NOUN	Rykard_Lord_of_Blasphemy-scene-2030000-10
join	VERB	Rykard_Lord_of_Blasphemy-scene-2030000-10
family	NOUN	Rykard_Lord_of_Blasphemy-scene-2030000-10
devour	VERB	Rykard_Lord_of_Blasphemy-scene-2030000-10
god	NOUN	Rykard_Lord_of_Blasphemy-scene-2030000-10
together	ADV	Rykard_Lord_of_Blasphemy-scene-2030000-10
devour	VERB	Rykard_Lord_of_Blasphemy-scene-2030000-10
very	ADJ	Rykard_Lord_of_Blasphemy-scene-2030000-10
god	NOUN	Rykard_Lord_of_Blasphemy-scene-2030000-10
fine	ADJ	Rykard_Lord_of_Blasphemy-scene-2149000-11
sacrifice	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
indeed	ADV	Rykard_Lord_of_Blasphemy-scene-2149000-11
let	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
devour	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
god	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
together	ADV	Rykard_Lord_of_Blasphemy-scene-2149000-11
now	ADV	Rykard_Lord_of_Blasphemy-scene-2149000-11
family	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
now	ADV	Rykard_Lord_of_Blasphemy-scene-2149000-11
devour	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
god	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
together	ADV	Rykard_Lord_of_Blasphemy-scene-2149000-11
o	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
shaper	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
god	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
meddler	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
fortune	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
abide	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
suffocate	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
order	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
so	ADV	Rykard_Lord_of_Blasphemy-scene-2149000-11
show	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
way	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
show	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
way	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
devour	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
god	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
one	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
hold	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
captive	ADJ	Rykard_Lord_of_Blasphemy-scene-2149000-11
serpent	NOUN	Rykard_Lord_of_Blasphemy-scene-2149000-11
never	ADV	Rykard_Lord_of_Blasphemy-scene-2149000-11
die	VERB	Rykard_Lord_of_Blasphemy-scene-2149000-11
scream	VERB	Godrick_the_Grafted-scene-2086000-28
unleash	VERB	Godrick_the_Grafted-scene-2086000-28
curse	VERB	Godrick_the_Grafted-scene-2086000-28
blessing	NOUN	Godrick_the_Grafted-scene-2086000-28
thou	VERB	Margit_the_Fell_Omen-scene-2040000-8
art	NOUN	Margit_the_Fell_Omen-scene-2040000-8
pass	VERB	Margit_the_Fell_Omen-scene-2040000-8
skill	NOUN	Margit_the_Fell_Omen-scene-2040000-8
warrior	NOUN	Margit_the_Fell_Omen-scene-2040000-8
blood	NOUN	Margit_the_Fell_Omen-scene-2040000-8
truly	ADV	Margit_the_Fell_Omen-scene-2040000-8
run	VERB	Margit_the_Fell_Omen-scene-2040000-8
vein	NOUN	Margit_the_Fell_Omen-scene-2040000-8
tarnish	VERB	Margit_the_Fell_Omen-scene-2040000-8
think	VERB	Margit_the_Fell_Omen-scene-2040000-8
pass	VERB	Margit_the_Fell_Omen-scene-2040000-8
valour	NOUN	Margit_the_Fell_Omen-scene-2040000-8
dark	NOUN	Margit_the_Fell_Omen-scene-2040000-8
night	NOUN	Margit_the_Fell_Omen-scene-2040000-8
yet	ADV	Margit_the_Fell_Omen-scene-2040000-8
lift	VERB	Margit_the_Fell_Omen-scene-2040000-8
hand	NOUN	Margit_the_Fell_Omen-scene-2040000-8
brook	VERB	Margit_the_Fell_Omen-scene-2040000-8
thee	VERB	Margit_the_Fell_Omen-scene-2040000-8
quarter	NOUN	Margit_the_Fell_Omen-scene-2040000-8
put	VERB	Margit_the_Fell_Omen-scene-2040000-8
foolish	ADJ	Margit_the_Fell_Omen-scene-2040000-8
ambition	NOUN	Margit_the_Fell_Omen-scene-2040000-8
rest	VERB	Margit_the_Fell_Omen-scene-2040000-8
firmly	ADV	Margit_the_Fell_Omen-scene-2040000-8
root	VERB	Margit_the_Fell_Omen-scene-2040000-8
always	ADV	Margit_the_Fell_Omen-scene-2040000-8
remember	VERB	Margit_the_Fell_Omen-scene-2040000-8
flame	NOUN	Margit_the_Fell_Omen-scene-2040000-8
ambition	NOUN	Margit_the_Fell_Omen-scene-2040000-8
leadeth	VERB	Margit_the_Fell_Omen-scene-2040000-8
astray	ADV	Margit_the_Fell_Omen-scene-2040000-8
come	VERB	Margit_the_Fell_Omen-scene-2040000-8
hand	NOUN	Margit_the_Fell_Omen-scene-2040000-8
wretch	NOUN	Margit_the_Fell_Omen-scene-2040000-8
flame	NOUN	Margit_the_Fell_Omen-scene-2040000-8
see	VERB	Margit_the_Fell_Omen-scene-2040000-8
little	ADJ	Margit_the_Fell_Omen-scene-2040000-8
smould're	VERB	Margit_the_Fell_Omen-scene-2040000-8
wretched	ADJ	Margit_the_Fell_Omen-scene-2040000-8
flame	NOUN	Margit_the_Fell_Omen-scene-2040000-8
ambition	NOUN	Margit_the_Fell_Omen-scene-2040000-8
tremble	VERB	Margit_the_Fell_Omen-scene-2040000-8
now	ADV	Margit_the_Fell_Omen-scene-2040000-8
fear	NOUN	Margit_the_Fell_Omen-scene-2040000-8
hand	NOUN	Margit_the_Fell_Omen-scene-2040000-8
soon	ADV	Margit_the_Fell_Omen-scene-2040000-8
put	VERB	Margit_the_Fell_Omen-scene-2040000-8
little	ADJ	Margit_the_Fell_Omen-scene-2040000-8
flame	NOUN	Margit_the_Fell_Omen-scene-2040000-8
throne	NOUN	Margit_the_Fell_Omen-scene-2040000-8
stain	VERB	Margit_the_Fell_Omen-scene-2040000-8
curse	NOUN	Margit_the_Fell_Omen-scene-2040000-8
such	ADJ	Margit_the_Fell_Omen-scene-2040000-8
shame	NOUN	Margit_the_Fell_Omen-scene-2040000-8
bear	VERB	Margit_the_Fell_Omen-scene-2040000-8
Thy	VERB	Margit_the_Fell_Omen-scene-2040000-8
part	NOUN	Margit_the_Fell_Omen-scene-2040000-8
forgive	VERB	Margit_the_Fell_Omen-scene-2040000-8
writ	VERB	Margit_the_Fell_Omen-scene-2040000-8
meagre	ADJ	Margit_the_Fell_Omen-scene-2040000-8
grave	NOUN	Margit_the_Fell_Omen-scene-2040000-8
fell	VERB	Margit_the_Fell_Omen-scene-2040000-8
last	ADJ	Margit_the_Fell_Omen-scene-2040000-8
king	NOUN	Margit_the_Fell_Omen-scene-2040000-8
curse	NOUN	Margit_the_Fell_Omen-scene-2040000-8
seep	VERB	Margit_the_Fell_Omen-scene-2040000-8
very	ADJ	Margit_the_Fell_Omen-scene-2040000-8
soul	NOUN	Margit_the_Fell_Omen-scene-2040000-8
apt	ADJ	Margit_the_Fell_Omen-scene-2040000-8
reward	NOUN	Margit_the_Fell_Omen-scene-2040000-8
brash	ADJ	Margit_the_Fell_Omen-scene-2040000-8
ambition	NOUN	Margit_the_Fell_Omen-scene-2040000-8
tarnish	VERB	Margit_the_Fell_Omen-scene-2040000-8
thou	VERB	Margit_the_Fell_Omen-scene-2040000-8
art	NOUN	Margit_the_Fell_Omen-scene-2040000-8
mistaken	NOUN	Margit_the_Fell_Omen-scene-2040000-8
welcometh	VERB	Margit_the_Fell_Omen-scene-2040000-8
man	NOUN	Margit_the_Fell_Omen-scene-2040000-8
one	NOUN	Margit_the_Fell_Omen-scene-2040000-8
again	ADV	Margit_the_Fell_Omen-scene-2040000-8
even	ADV	Margit_the_Fell_Omen-scene-2040000-8
nobly	ADV	Godfrey_First_Elden_Lord-scene-2068000-15
fight	VERB	Godfrey_First_Elden_Lord-scene-2068000-15
return	VERB	Godfrey_First_Elden_Lord-scene-2068000-15
crown	NOUN	Godfrey_First_Elden_Lord-scene-2068000-15
warrant	VERB	Godfrey_First_Elden_Lord-scene-2068000-15
strength	NOUN	Godfrey_First_Elden_Lord-scene-2068000-15
take	VERB	Godfrey_First_Elden_Lord-scene-2068000-15
mine	NOUN	Godfrey_First_Elden_Lord-scene-2068000-15
arm	NOUN	Godfrey_First_Elden_Lord-scene-2068000-15
once	ADV	Godfrey_First_Elden_Lord-scene-2068000-15
more	ADJ	Godfrey_First_Elden_Lord-scene-2068000-15
thy	ADJ	Godfrey_First_Elden_Lord-scene-2068000-15
strength	NOUN	Godfrey_First_Elden_Lord-scene-2068000-15
befit	VERB	Godfrey_First_Elden_Lord-scene-2068000-15
crown	NOUN	Godfrey_First_Elden_Lord-scene-2068000-15
die	VERB	Godrick_the_Grafted-scene-2083000-25
disgusting	ADJ	Godrick_the_Grafted-scene-2083000-25
worry	VERB	Godrick_the_Grafted-scene-2083000-25
get	VERB	Godrick_the_Grafted-scene-2083000-25
big	ADJ	Godrick_the_Grafted-scene-2083000-25
plan	NOUN	Godrick_the_Grafted-scene-2083000-25
snuff	VERB	Godrick_the_Grafted-scene-2083000-25
pant	VERB	Godrick_the_Grafted-scene-2005000-18
true	ADJ	Godrick_the_Grafted-scene-2005000-18
dragon	NOUN	Godrick_the_Grafted-scene-2005000-18
lend	VERB	Godrick_the_Grafted-scene-2005000-18
strength	NOUN	Godrick_the_Grafted-scene-2005000-18
pant	VERB	Godrick_the_Grafted-scene-2005000-18
forefather	NOUN	Godrick_the_Grafted-scene-2005000-18
witness	NOUN	Godrick_the_Grafted-scene-2005000-18
business	NOUN	Morgott_the_Omen_King-scene-2021000-9
throne	NOUN	Morgott_the_Omen_King-scene-2021000-9
twin	ADJ	Morgott_the_Omen_King-scene-2021000-9
prodigy	NOUN	Morgott_the_Omen_King-scene-2021000-9
wilful	ADJ	Morgott_the_Omen_King-scene-2021000-9
traitor	NOUN	Morgott_the_Omen_King-scene-2021000-9
thy	NOUN	Morgott_the_Omen_King-scene-2021000-9
kind	NOUN	Morgott_the_Omen_King-scene-2021000-9
piece	NOUN	Morgott_the_Omen_King-scene-2021000-9
seek	VERB	Morgott_the_Omen_King-scene-2021000-9
vengeance	NOUN	Morgott_the_Omen_King-scene-2021000-9
embolden	VERB	Morgott_the_Omen_King-scene-2021000-9
flame	NOUN	Morgott_the_Omen_King-scene-2021000-9
ambition	NOUN	Morgott_the_Omen_King-scene-2021000-9
writ	VERB	Morgott_the_Omen_King-scene-2021000-9
meagre	ADJ	Morgott_the_Omen_King-scene-2021000-9
grave	NOUN	Morgott_the_Omen_King-scene-2021000-9
fell	VERB	Morgott_the_Omen_King-scene-2021000-9
last	ADJ	Morgott_the_Omen_King-scene-2021000-9
king	NOUN	Morgott_the_Omen_King-scene-2021000-9
scream	VERB	Godrick_the_Grafted-scene-2085000-27
destine	VERB	Maliketh_the_Black_Blade-scene-2023000-2
death	NOUN	Maliketh_the_Black_Blade-scene-2023000-2
become	VERB	Maliketh_the_Black_Blade-scene-2023000-2
blade	NOUN	Maliketh_the_Black_Blade-scene-2023000-2
once	ADV	Maliketh_the_Black_Blade-scene-2023000-2
more	ADJ	Maliketh_the_Black_Blade-scene-2023000-2
long	ADJ	Maliketh_the_Black_Blade-scene-2023000-2
exhalation	NOUN	Maliketh_the_Black_Blade-scene-2023000-2
part	VERB	Maliketh_the_Black_Blade-scene-2028000-3
again	ADV	Maliketh_the_Black_Blade-scene-2028000-3
stay	VERB	Maliketh_the_Black_Blade-scene-2028000-3
away	ADV	Maliketh_the_Black_Blade-scene-2028000-3
destine	VERB	Maliketh_the_Black_Blade-scene-2028000-3
covet	VERB	Maliketh_the_Black_Blade-scene-2028000-3
destine	VERB	Maliketh_the_Black_Blade-scene-2028000-3
death	NOUN	Maliketh_the_Black_Blade-scene-2028000-3
kill	VERB	Maliketh_the_Black_Blade-scene-2028000-3
destroy	VERB	Maliketh_the_Black_Blade-scene-2028000-3
forgive	VERB	Maliketh_the_Black_Blade-scene-2028000-3
restore	VERB	Maliketh_the_Black_Blade-scene-2028000-3
consume	VERB	Maliketh_the_Black_Blade-scene-2028000-3
more	ADJ	Maliketh_the_Black_Blade-scene-2028000-3
thou	VERB	Maliketh_the_Black_Blade-scene-2028000-3
gull	VERB	Maliketh_the_Black_Blade-scene-2028000-3
shatter	VERB	Maliketh_the_Black_Blade-scene-2028000-3
well	ADV	Godrick_the_Grafted-scene-2077000-22
know	VERB	Godrick_the_Grafted-scene-2077000-22
scheme	VERB	Godrick_the_Grafted-scene-2077000-22
little	ADJ	Godrick_the_Grafted-scene-2077000-22
thief	NOUN	Godrick_the_Grafted-scene-2077000-22
god	NOUN	Godrick_the_Grafted-scene-2077000-22
demand	VERB	Godrick_the_Grafted-scene-2077000-22
vengeance	NOUN	Godrick_the_Grafted-scene-2077000-22
let	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
flesh	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
consume	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
scarlet	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
rot	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
first	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
defeat	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
bravely	ADV	Malenia_Blade_of_Miquella-scene-2039000-6
fight	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
bravely	ADV	Malenia_Blade_of_Miquella-scene-2039000-6
fight	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
lady	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
remember	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
day	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
scarlet	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
bloom	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
flower	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
again	ADV	Malenia_Blade_of_Miquella-scene-2039000-6
strength	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
extraordinary	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
mark	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
true	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
dear	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
brother	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
sorry	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
finally	ADV	Malenia_Blade_of_Miquella-scene-2039000-6
meet	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
match	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
curse	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
ever	ADV	Malenia_Blade_of_Miquella-scene-2039000-6
wander	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
begin	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
allow	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
paint	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
full	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
picture	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
eat	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
inside	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
scarlet	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
rot	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
wit	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
long	ADV	Malenia_Blade_of_Miquella-scene-2039000-6
go	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
now	ADV	Malenia_Blade_of_Miquella-scene-2039000-6
gather	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
corps	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
former	ADJ	Malenia_Blade_of_Miquella-scene-2039000-6
friend	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
foe	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
alike	ADV	Malenia_Blade_of_Miquella-scene-2039000-6
gorge	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
dog	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
howl	VERB	Malenia_Blade_of_Miquella-scene-2039000-6
sky	NOUN	Malenia_Blade_of_Miquella-scene-2039000-6
search	NOUN	Margit_the_Fell_Omen-scene-2003000-7
embolden	VERB	Margit_the_Fell_Omen-scene-2003000-7
flame	NOUN	Margit_the_Fell_Omen-scene-2003000-7
ambition	NOUN	Margit_the_Fell_Omen-scene-2003000-7
extinguish	VERB	Margit_the_Fell_Omen-scene-2003000-7
flame	NOUN	Margit_the_Fell_Omen-scene-2003000-7
let	VERB	Margit_the_Fell_Omen-scene-2003000-7
didst	VERB	Godfrey_First_Elden_Lord-scene-2008000-13
good	ADJ	Godfrey_First_Elden_Lord-scene-2008000-13
service	NOUN	Godfrey_First_Elden_Lord-scene-2008000-13
give	VERB	Godfrey_First_Elden_Lord-scene-2008000-13
courtesy	NOUN	Godfrey_First_Elden_Lord-scene-2008000-13
enough	ADV	Godfrey_First_Elden_Lord-scene-2008000-13
exhale	VERB	Godfrey_First_Elden_Lord-scene-2008000-13
now	ADV	Godfrey_First_Elden_Lord-scene-2008000-13
fight	VERB	Godfrey_First_Elden_Lord-scene-2008000-13
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
become	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
desire	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
come	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
time	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
bear	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
anew	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
afeard	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
little	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
little	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
hush	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fair	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
maid	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
soon	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
birth	VERB	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
anew	ADV	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
sweeting	NOUN	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
fresh	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
pure	ADJ	Rennala_Queen_of_the_Full_Moon-scene-2000000-1
